species,family,namephylo,namephylo1,status,community,lifehistory,growthform,native,rangeedge,specialization,Nfix,C34,raritycategory,rarity
Acer plantoides,Aceraceae,,,1,forest,perennial,woody,non-native,0,1,not,C3,rare,0.144578313
Acer saccharum,Aceraceae,,,1,forest,perennial,woody,native,0,2,not,C3,common,0.86746988
Actaea pachypoda,Ranunculaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.915662651
Adiantum pedatum,Pteridaceae,,,1,forest,perennial,fern,native,0,2,not,C3,common,0.807228916
Aesculus glabra,Hippocastanaceae,,,1,forest,perennial,woody,native,0,1,not,C3,rare,0.144578313
Agastache nepetoides,Labiatae,,,1,forest,perennial,forb,native,0,4,not,C3,rare,0.240963855
Agrimonia pubescens,Rosaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.265060241
Agrimonia rostellata,Rosaceae,,,1,forest,perennial,forb,non-native,1,2,not,C3,rare,0.084337349
Allium burdickii,Liliaceae,,,1,forest,perennial,forb,native,0,1,not,C3,rare,0.156626506
Allium tricoccum,Liliaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.819277108
Amelanchier arborea,Rosaceae,,,1,forest,perennial,woody,native,0,3,not,C3,common,0.759036145
Amelanchier interior,Rosaceae,,,1,forest,perennial,woody,native,0,2,not,C3,common,0.771084337
Amelanchier laevis,Rosaceae,,,1,forest,perennial,woody,native,0,2,not,C3,common,0.807228916
Amelanchier spicata,Rosaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.554216867
Anaphalis margaritacea,Asteraceae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.590361446
Anemone virginiana,Ranunculaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.855421687
Anemonella/Thalictrum thalictroides,Ranunculaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.253012048
Antennaria parlinii,Asteraceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.831325301
Aplectrum hyemale,Orchidaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.313253012
Aralia nudicaulis,Araliaceae,,,1,forest,perennial,forb,native,0,3,not,C3,common,0.891566265
